venue_id,name,category,area,address,city,postcode,level_entry_access,sloped_access,accessible_toilet,wheelchair_space,accessible_parking,notes,source_type,source_name,confidence_level_entry,confidence_toilet,confidence_space,confidence_parking
1,Pizza Hut,restaurant,Leicester Square,17-21 Leicester Square,London,WC2H 7LE,yes,yes,yes,yes,yes,AccessAble guide available,manual,AccessAble,high,high,high,high
2,Burger King,restaurant,Leicester Square,20 Leicester Square,London,WC2E 9NG,yes,yes,no,yes,yes,The majority of tables on ground floor are accessible to wheelchair users.,manual,AccessAble,high,high,high,high
3,Cafe Monico,cafe,Piccadilly Circus,39-45 Shaftesbury Avenue,London,W1D 5LA,yes,yes,no,yes,yes,The majority of tables are accessible to wheelchair users.,manual,AccessAble,high,high,high,high
4,Gillray's Steakhouse and Bar,restaurant,South Bank,"London Marriott County Hall, Westminster Bridge Road, Lambeth",London,SE1 7PB,yes,yes,no,yes,no,To access entrance please contact the restaurant in advance.,manual,AccessAble,high,high,high,high
5,Ichi Sushi & Sashimi Bar,restaurant,Westminster Bridge,"Park Plaza Westminster Bridge - First Floor, 200 Westminster Bridge Road",London,SE1 7UT,yes,yes,no,yes,yes,The restaurant is located on the first floor of the hotel.,manual,AccessAble,high,high,high,high
6,Sea Containers Restaurant,restaurant,South Bank,"Sea Containers Hotel - Ground Floor, 20 Upper Ground, South Bank",London,SE1 9PD,yes,yes,yes,yes,yes,There is an external seating area which is accessed via 2 steps or a portable ramp.,manual,AccessAble,high,high,high,high
7,The Moon Under Water,restaurant,Leicester Square,28 Leicester Square,London,WC2H 7LE,no,yes,no,yes,yes,Please contact the venue for use of the portable ramp.,manual,AccessAble,high,high,high,high
8,Flat Iron,restaurant,Covent Garden,"17-18 Henrietta Street, Covent Garden",London,WC2E 8QH,no,yes,no,yes,yes,There is ramped/sloped access at this entrance.,manual,AccessAble,high,high,high,high
9,Chiquito,restaurant,Leicester Square,20-21 Leicester Square,London,WC2H 7LE,no,yes,no,yes,yes,Please contact a member of staff for use of the portable ramp.,manual,AccessAble,high,high,high,high
