venue_id,place_id,name,category,search_category,area,city,source_city,level_entry_access,sloped_access,accessible_toilet,wheelchair_space,accessible_parking,notes,source_type,source_name,confidence_level_entry,confidence_sloped_access,confidence_toilet,confidence_space,confidence_parking,address,lat,lng,rating,user_ratings_total,business_status,google_types
134,ChIJffX0SHOOcUgRHU_XQmikBgE,The Bristolian,cafe,cafe,2 Picton St,bristol,bristol,yes,unknown,unknown,yes,no,Imported from Google Places API (New),api,Google Places (New),medium,low,low,medium,medium,"2 Picton St, Montpelier, Bristol BS6 5QA, UK",51.464853,-2.5891527,4.6,1765,OPERATIONAL,cafe|coffee_shop|breakfast_restaurant|food_store|store|restaurant|food|point_of_interest|establishment
135,ChIJCyLaH3iOcUgRd4FEQPiP4H0,Small Street Espresso,cafe,cafe,23 Small St,bristol,bristol,yes,unknown,unknown,unknown,no,Imported from Google Places API (New),api,Google Places (New),medium,low,low,low,medium,"23 Small St, Bristol BS1 1DW, UK",51.4548351,-2.594382,4.8,694,OPERATIONAL,coffee_shop|cafe|food_store|store|food|point_of_interest|establishment
136,ChIJ9Sy4QdaNcUgRJYFkiUTM9R8,Society Café,cafe,cafe,Farr's Ln,bristol,bristol,yes,unknown,yes,yes,no,Imported from Google Places API (New),api,Google Places (New),medium,low,medium,medium,medium,"Farr's Ln, Narrow Quay, Bristol BS1 4BB, UK",51.449956,-2.5972808,4.5,1151,OPERATIONAL,cafe|coffee_shop|breakfast_restaurant|tea_house|food_store|store|restaurant|food|point_of_interest|establishment
137,ChIJG9SNhneOcUgREJvGY2FYG4o,Full Court Press,cafe,cafe,59 Broad St,bristol,bristol,yes,unknown,unknown,yes,no,Imported from Google Places API (New),api,Google Places (New),medium,low,low,medium,medium,"59 Broad St, Bristol BS1 2EJ, UK",51.455116399999994,-2.5932029,4.8,810,OPERATIONAL,coffee_shop|cafe|food_store|store|food|point_of_interest|establishment
138,ChIJ7zGIRSeNcUgRtDzd-iLjdaE,Taste of Napoli,cafe,cafe,48 Park St,bristol,bristol,yes,unknown,unknown,unknown,unknown,Imported from Google Places API (New),api,Google Places (New),medium,low,low,low,low,"48 Park St, Bristol BS1 5JG, UK",51.454426399999996,-2.6024448,4.8,47,OPERATIONAL,restaurant|coffee_shop|ice_cream_shop|cafe|dessert_shop|confectionery|bar|food_store|pizza_restaurant|store|food|point_of_interest|establishment
139,ChIJVYaMt3aOcUgRfusftyVYLr0,Cafe Casa,cafe,cafe,6 St James Barton Roundabout,bristol,bristol,yes,unknown,unknown,unknown,unknown,Imported from Google Places API (New),api,Google Places (New),medium,low,low,low,low,"6 St James Barton Roundabout, Broadmead, Bristol BS1 3LT, UK",51.4589383,-2.5907503999999997,4.5,243,OPERATIONAL,cafe|food|point_of_interest|establishment
140,ChIJbx4F9dqNcUgRPkQr9Xr63z0,Bristol Museum & Art Gallery,cafe,museum,Queens Rd,bristol,bristol,yes,unknown,yes,yes,no,Imported from Google Places API (New),api,Google Places (New),medium,low,medium,medium,medium,"Queens Rd, Clifton, Bristol BS8 1RL, UK",51.456495399999994,-2.6050953,4.6,6739,OPERATIONAL,art_museum|gift_shop|tourist_attraction|cafe|art_gallery|museum|store|food|point_of_interest|establishment
141,ChIJZY7vrNeNcUgR9vKQJb0zzNQ,We The Curious,museum,museum,1 Millennium Square,bristol,bristol,yes,unknown,yes,unknown,yes,Imported from Google Places API (New),api,Google Places (New),medium,low,medium,low,medium,"1 Millennium Square, One Millennium Square, Anchor Rd, Bristol BS1 5DB, UK",51.4504841,-2.6001037,4.3,654,OPERATIONAL,planetarium|museum|association_or_organization|service|point_of_interest|establishment
142,ChIJb3DVWNaNcUgRRk5VYWIdf3Y,M Shed,cafe,museum,Princes Wharf,bristol,bristol,yes,unknown,yes,yes,yes,Imported from Google Places API (New),api,Google Places (New),medium,low,medium,medium,medium,"Princes Wharf, Wapping Rd, Bristol BS1 4RN, UK",51.4476479,-2.5982374999999998,4.5,6472,OPERATIONAL,museum|gift_shop|tourist_attraction|wedding_venue|cafe|event_venue|store|service|food|point_of_interest|establishment
143,ChIJw09dY5ORcUgRsmVRX6xuJgw,Aerospace Bristol,museum,museum,Hayes Way,bristol,bristol,yes,unknown,yes,yes,yes,Imported from Google Places API (New),api,Google Places (New),medium,low,medium,medium,medium,"Hayes Way, Patchway, Bristol BS34 5BZ, UK",51.5232599,-2.5781513,4.7,5532,OPERATIONAL,museum|tourist_attraction|point_of_interest|establishment
144,ChIJVRX-bQaPcUgRgGsDEU--3FQ,Wake The Tiger,museum,museum,Wake The Tiger,bristol,bristol,yes,unknown,yes,yes,yes,Imported from Google Places API (New),api,Google Places (New),medium,low,medium,medium,medium,"Wake The Tiger, 127 Albert Rd, Bristol BS2 0YA, UK",51.445600999999996,-2.5662171,4.6,4633,OPERATIONAL,tourist_attraction|art_museum|event_venue|museum|point_of_interest|establishment
145,ChIJn2Zr4riNcUgR_aJml090EUs,Clifton Observatory,cafe,museum,Litfield Place,bristol,bristol,yes,unknown,yes,yes,no,Imported from Google Places API (New),api,Google Places (New),medium,low,medium,medium,medium,"Litfield Place, Clifton, Bristol BS8 3LT, UK",51.456637199999996,-2.6265264000000004,4.6,1896,OPERATIONAL,event_venue|tourist_attraction|wedding_venue|cafe|museum|service|food|point_of_interest|establishment
146,ChIJe4lldrCNcUgR6czC5elCqMM,Clifton Suspension Bridge Museum,museum,museum,Bridge Rd,bristol,bristol,yes,unknown,yes,no,no,Imported from Google Places API (New),api,Google Places (New),medium,low,medium,medium,medium,"Bridge Rd, Leigh Woods, Bristol BS8 3PA, UK",51.4538802,-2.6307547,4.7,444,OPERATIONAL,museum|visitor_center|tourist_attraction|tourist_information_center|tour_agency|travel_agency|service|point_of_interest|establishment
147,ChIJP1GO7neOcUgR1hpBYH3auKc,Palestine Museum & Cultural Centre,museum,museum,27 Broad St,bristol,bristol,unknown,unknown,unknown,unknown,no,Imported from Google Places API (New),api,Google Places (New),low,low,low,low,medium,"27 Broad St, Bristol BS1 2HG, UK",51.455688599999995,-2.5947703,4.4,248,OPERATIONAL,history_museum|tourist_attraction|museum|point_of_interest|establishment
148,ChIJM0umW9SNcUgRJQyPQYpK7Ik,Museum Square,museum,museum,Museum St,bristol,bristol,yes,unknown,yes,unknown,unknown,Imported from Google Places API (New),api,Google Places (New),medium,low,medium,low,low,"Museum St, Bristol BS1 4RN, UK",51.4473385,-2.5992935999999998,4.7,37,OPERATIONAL,museum|point_of_interest|establishment
149,ChIJQzA9982NcUgRIy3typGO_BU,Brunel's SS Great Britain,museum,museum,Great Western Dockyard,bristol,bristol,yes,unknown,yes,yes,yes,Imported from Google Places API (New),api,Google Places (New),medium,low,medium,medium,medium,"Great Western Dockyard, Gas Ferry Rd, Bristol BS1 6TY, UK",51.449171199999995,-2.6084058,4.8,10080,OPERATIONAL,tourist_attraction|wedding_venue|event_venue|museum|service|point_of_interest|establishment
